"log_id","operation_time","operation_type","operation_user","operation_details","patient_id","execution_time_ms","status"
81,"2025-11-10 03:18:24",删除,医生56,分析患者2068_0_20210616的用药情况,"2068_0_20210616",118,失败
82,"2025-11-30 21:13:47",分析,医生23,查询患者2069_0_20210621的病历信息,"2069_0_20210621",469,成功
83,"2025-12-01 21:34:18",分析,医生51,分析患者2069_1_20210705的用药情况,"2069_1_20210705",969,成功
84,"2025-11-15 18:20:29",分析,医生96,分析患者2069_2_20210825的用药情况,"2069_2_20210825",149,成功
85,"2025-12-06 02:57:35",插入,医生34,查询患者2070_0_20210629的病历信息,"2070_0_20210629",281,成功
86,"2025-11-20 07:14:31",更新,医生23,分析患者2071_0_20210705的用药情况,"2071_0_20210705",737,成功
87,"2025-11-24 01:29:24",查询,医生16,更新患者2072_0_20210706的诊断记录,"2072_0_20210706",351,警告
88,"2025-11-19 03:35:36",分析,医生8,查询患者2073_0_20210703的病历信息,"2073_0_20210703",503,成功
89,"2025-11-09 05:47:28",分析,医生28,更新患者2074_0_20210707的诊断记录,"2074_0_20210707",660,成功
90,"2025-11-11 11:16:12",分析,医生80,分析患者2074_1_20210720的用药情况,"2074_1_20210720",800,成功
91,"2025-11-21 02:35:46",插入,医生79,查询患者2075_0_20210720的病历信息,"2075_0_20210720",747,警告
92,"2025-11-15 11:48:51",更新,医生58,更新患者2077_0_20210803的诊断记录,"2077_0_20210803",401,成功
93,"2025-11-26 22:07:03",分析,医生26,分析患者2078_0_20210803的用药情况,"2078_0_20210803",390,成功
94,"2025-11-17 03:22:34",查询,医生16,更新患者2078_1_20210817的诊断记录,"2078_1_20210817",763,成功
95,"2025-11-23 22:53:53",查询,医生29,分析患者2079_0_20210809的用药情况,"2079_0_20210809",475,成功
96,"2025-11-09 16:08:57",插入,医生84,分析患者2080_0_20210816的用药情况,"2080_0_20210816",543,成功
97,"2025-11-13 10:07:43",分析,医生26,查询患者2081_0_20210817的病历信息,"2081_0_20210817",817,成功
98,"2025-12-07 05:51:38",查询,医生82,分析患者2082_0_20210907的用药情况,"2082_0_20210907",588,成功
99,"2025-11-08 18:34:46",更新,医生96,查询患者2083_0_20201214的病历信息,"2083_0_20201214",401,成功
100,"2025-11-14 19:24:50",更新,医生66,分析患者2084_0_20211013的用药情况,"2084_0_20211013",913,成功
101,"2025-11-08 04:36:35",插入,医生92,分析患者2085_0_20200907的用药情况,"2085_0_20200907",566,成功
102,"2025-11-27 09:44:42",更新,医生93,查询患者2086_0_20200914的病历信息,"2086_0_20200914",72,成功
103,"2025-12-05 04:19:10",插入,医生86,查询患者2087_0_20201012的病历信息,"2087_0_20201012",161,成功
104,"2025-12-02 21:41:54",更新,医生69,查询患者2088_0_20201123的病历信息,"2088_0_20201123",781,成功
105,"2025-11-17 21:01:39",分析,医生52,分析患者2089_0_20201019的用药情况,"2089_0_20201019",699,成功
106,"2025-11-08 10:55:26",插入,医生13,分析患者2090_0_20201130的用药情况,"2090_0_20201130",0,失败
107,"2025-11-28 12:28:58",更新,医生64,更新患者2091_0_20201029的诊断记录,"2091_0_20201029",766,成功
108,"2025-11-26 14:41:40",更新,医生54,查询患者2092_0_20201109的病历信息,"2092_0_20201109",579,成功
109,"2025-11-17 22:16:47",分析,医生68,分析患者2093_0_20201109的用药情况,"2093_0_20201109",742,成功
110,"2025-11-30 12:39:56",查询,医生69,查询患者2095_0_20201116的病历信息,"2095_0_20201116",165,成功
111,"2025-11-14 01:31:36",分析,医生58,更新患者2096_0_20201116的诊断记录,"2096_0_20201116",369,成功
112,"2025-11-11 12:39:56",查询,医生11,查询患者2097_0_20201116的病历信息,"2097_0_20201116",962,成功
113,"2025-12-02 22:49:27",删除,医生89,分析患者2098_0_20201106的用药情况,"2098_0_20201106",329,成功
114,"2025-11-12 07:42:46",查询,医生53,查询患者2099_0_20201116的病历信息,"2099_0_20201116",494,成功
128,"2025-11-14 14:22:21",查询,医生40,更新患者1001_0_20210730的诊断记录,"1001_0_20210730",848,成功
129,"2025-11-26 23:34:12",删除,医生84,查询患者1002_0_20210504的病历信息,"1002_0_20210504",625,成功
130,"2025-11-24 13:05:10",查询,医生33,分析患者1002_1_20210521的用药情况,"1002_1_20210521",11,成功
131,"2025-11-13 15:24:29",更新,医生95,分析患者1002_2_20210909的用药情况,"1002_2_20210909",244,成功
132,"2025-11-15 01:47:03",分析,医生36,查询患者1003_0_20210831的病历信息,"1003_0_20210831",914,成功
133,"2025-12-03 00:09:09",分析,医生96,分析患者1004_0_20210425的用药情况,"1004_0_20210425",942,成功
134,"2025-11-08 11:02:11",分析,医生11,查询患者1005_0_20210522的病历信息,"1005_0_20210522",924,成功
135,"2025-11-12 00:01:29",分析,医生91,查询患者1006_0_20210114的病历信息,"1006_0_20210114",504,成功
136,"2025-11-19 04:47:42",插入,医生23,查询患者1006_1_20210209的病历信息,"1006_1_20210209",443,成功
137,"2025-12-05 02:55:36",分析,医生25,查询患者1006_2_20210303的病历信息,"1006_2_20210303",779,成功
138,"2025-11-21 11:12:04",分析,医生87,分析患者1007_0_20210726的用药情况,"1007_0_20210726",284,成功
139,"2025-12-01 11:32:34",更新,医生67,查询患者1008_0_20210713的病历信息,"1008_0_20210713",244,成功
140,"2025-12-06 00:38:23",删除,医生24,查询患者1009_0_20210803的病历信息,"1009_0_20210803",897,成功
141,"2025-11-20 03:33:42",更新,医生33,查询患者1010_0_20210915的病历信息,"1010_0_20210915",541,成功
142,"2025-11-09 00:53:42",删除,医生37,分析患者1011_0_20210622的用药情况,"1011_0_20210622",22,成功
143,"2025-11-18 10:58:53",更新,医生16,查询患者1012_0_20210923的病历信息,"1012_0_20210923",66,成功
144,"2025-11-12 03:47:52",删除,医生73,更新患者2000_0_20201230的诊断记录,"2000_0_20201230",88,警告
145,"2025-11-24 05:20:25",分析,医生22,分析患者2001_0_20201102的用药情况,"2001_0_20201102",35,成功
146,"2025-11-11 10:20:43",查询,医生75,分析患者2001_1_20201117的用药情况,"2001_1_20201117",770,失败
147,"2025-12-02 15:10:22",删除,医生6,分析患者2002_0_20210513的用药情况,"2002_0_20210513",629,成功
148,"2025-11-28 01:54:41",分析,医生76,查询患者2003_0_20210615的病历信息,"2003_0_20210615",76,成功
149,"2025-12-03 19:16:19",分析,医生3,更新患者2004_0_20211028的诊断记录,"2004_0_20211028",926,成功
150,"2025-11-30 22:43:05",分析,医生28,更新患者2005_0_20211201的诊断记录,"2005_0_20211201",163,成功
151,"2025-11-20 18:55:35",更新,医生14,查询患者2006_0_20211112的病历信息,"2006_0_20211112",180,警告
152,"2025-11-09 03:32:33",插入,医生62,查询患者2007_0_20220108的病历信息,"2007_0_20220108",944,成功
153,"2025-12-03 11:44:35",查询,医生72,查询患者2008_0_20220118的病历信息,"2008_0_20220118",595,成功
154,"2025-11-22 17:42:43",插入,医生82,查询患者2009_0_20211103的病历信息,"2009_0_20211103",43,成功
155,"2025-11-21 15:03:46",查询,医生35,查询患者2010_0_20220111的病历信息,"2010_0_20220111",813,成功
156,"2025-11-15 18:22:55",更新,医生56,查询患者2011_0_20220123的病历信息,"2011_0_20220123",704,成功
157,"2025-11-09 00:52:40",查询,医生61,更新患者2012_0_20220126的诊断记录,"2012_0_20220126",759,成功
158,"2025-11-26 10:38:15",分析,医生68,分析患者2013_0_20220123的用药情况,"2013_0_20220123",259,成功
159,"2025-11-21 10:09:53",插入,医生1,查询患者2014_0_20201224的病历信息,"2014_0_20201224",166,警告
160,"2025-11-24 09:14:26",更新,医生46,分析患者2015_0_20210203的用药情况,"2015_0_20210203",219,成功
161,"2025-11-11 22:51:42",分析,医生32,分析患者2015_1_20210219的用药情况,"2015_1_20210219",54,成功
162,"2025-11-21 09:59:05",插入,医生36,查询患者2016_0_20201224的病历信息,"2016_0_20201224",302,成功
163,"2025-11-26 06:49:38",查询,医生59,分析患者2017_0_20210102的用药情况,"2017_0_20210102",876,成功
164,"2025-11-20 02:08:57",删除,医生33,分析患者2017_1_20201118的用药情况,"2017_1_20201118",828,成功
165,"2025-11-20 09:56:53",查询,医生29,查询患者2018_0_20210420的病历信息,"2018_0_20210420",755,成功
166,"2025-12-01 07:34:11",分析,医生33,更新患者2019_0_20210513的诊断记录,"2019_0_20210513",25,成功
167,"2025-11-19 14:57:14",删除,医生15,分析患者2021_0_20211013的用药情况,"2021_0_20211013",480,成功
168,"2025-11-18 22:13:46",更新,医生70,分析患者2022_0_20210419的用药情况,"2022_0_20210419",354,成功
169,"2025-11-23 14:11:34",分析,医生56,分析患者2023_0_20210812的用药情况,"2023_0_20210812",528,警告
170,"2025-11-16 14:37:35",分析,医生96,更新患者2025_0_20210506的诊断记录,"2025_0_20210506",654,成功
171,"2025-11-16 01:43:47",删除,医生54,更新患者2026_0_20210916的诊断记录,"2026_0_20210916",136,成功
172,"2025-11-16 07:57:14",分析,医生71,更新患者2027_0_20210521的诊断记录,"2027_0_20210521",818,成功
173,"2025-12-02 06:25:37",插入,医生84,查询患者2028_0_20210426的病历信息,"2028_0_20210426",260,成功
174,"2025-11-17 13:26:56",分析,医生59,更新患者2029_0_20210526的诊断记录,"2029_0_20210526",542,成功
175,"2025-11-15 10:39:16",插入,医生98,分析患者2030_0_20210531的用药情况,"2030_0_20210531",611,失败
176,"2025-11-29 00:46:11",查询,医生45,查询患者2031_0_20210601的病历信息,"2031_0_20210601",83,成功
177,"2025-11-17 18:26:15",分析,医生98,更新患者2033_0_20210615的诊断记录,"2033_0_20210615",320,成功
178,"2025-11-25 19:18:35",插入,医生21,查询患者2035_0_20210629的病历信息,"2035_0_20210629",807,成功
179,"2025-11-11 20:12:53",分析,医生14,更新患者2036_0_20210803的诊断记录,"2036_0_20210803",742,成功
180,"2025-12-05 06:48:32",分析,医生28,查询患者2037_0_20201221的病历信息,"2037_0_20201221",561,警告
181,"2025-11-22 14:03:50",分析,医生89,分析患者2038_0_20210608的用药情况,"2038_0_20210608",427,警告
182,"2025-12-01 04:52:08",分析,医生20,查询患者2039_0_20210615的病历信息,"2039_0_20210615",88,失败
183,"2025-11-30 00:59:13",分析,医生9,更新患者2040_0_20210729的诊断记录,"2040_0_20210729",710,成功
184,"2025-12-05 16:49:28",删除,医生72,分析患者2041_0_20210813的用药情况,"2041_0_20210813",712,成功
185,"2025-11-12 07:45:10",删除,医生41,分析患者2042_0_20211019的用药情况,"2042_0_20211019",614,成功
186,"2025-11-26 23:16:56",分析,医生35,分析患者2044_0_20211101的用药情况,"2044_0_20211101",934,成功
187,"2025-11-27 18:26:15",分析,医生51,查询患者2045_0_20201216的病历信息,"2045_0_20201216",535,失败
188,"2025-11-17 01:53:36",分析,医生97,分析患者2046_0_20201216的用药情况,"2046_0_20201216",172,成功
189,"2025-11-13 11:38:06",查询,医生72,分析患者2047_0_20210420的用药情况,"2047_0_20210420",57,成功
190,"2025-11-26 17:01:20",查询,医生3,分析患者2048_0_20210426的用药情况,"2048_0_20210426",67,成功
191,"2025-11-23 14:21:14",删除,医生79,分析患者2049_0_20210426的用药情况,"2049_0_20210426",980,成功
192,"2025-11-17 08:04:47",查询,医生11,查询患者2050_0_20210510的病历信息,"2050_0_20210510",183,成功
193,"2025-11-09 13:46:25",更新,医生6,分析患者2051_0_20210512的用药情况,"2051_0_20210512",997,成功
194,"2025-12-03 11:47:46",删除,医生55,分析患者2052_0_20210511的用药情况,"2052_0_20210511",553,成功
195,"2025-12-05 04:07:30",插入,医生79,更新患者2053_0_20210518的诊断记录,"2053_0_20210518",283,成功
196,"2025-11-17 08:06:59",查询,医生85,查询患者2054_0_20210524的病历信息,"2054_0_20210524",538,失败
197,"2025-11-24 02:51:13",查询,医生8,分析患者2055_0_20210524的用药情况,"2055_0_20210524",199,成功
198,"2025-11-20 03:40:09",分析,医生43,查询患者2055_1_20201207的病历信息,"2055_1_20201207",725,成功
199,"2025-11-17 12:20:28",分析,医生44,查询患者2056_0_20210524的病历信息,"2056_0_20210524",962,成功
200,"2025-11-28 11:07:32",分析,医生73,分析患者2057_0_20210525的用药情况,"2057_0_20210525",759,失败
201,"2025-11-12 06:28:54",分析,医生15,查询患者2058_0_20210524的病历信息,"2058_0_20210524",83,成功
202,"2025-11-27 12:06:24",分析,医生92,分析患者2059_0_20210525的用药情况,"2059_0_20210525",690,警告
203,"2025-11-17 23:32:07",分析,医生60,分析患者2060_0_20201214的用药情况,"2060_0_20201214",54,成功
204,"2025-11-08 03:08:42",分析,医生23,更新患者2061_0_20210601的诊断记录,"2061_0_20210601",752,警告
205,"2025-12-05 02:58:51",更新,医生10,分析患者2062_0_20210601的用药情况,"2062_0_20210601",373,成功
206,"2025-11-24 09:02:31",分析,医生44,查询患者2063_0_20210608的病历信息,"2063_0_20210608",85,成功
207,"2025-11-10 04:54:12",分析,医生5,分析患者2064_0_20210608的用药情况,"2064_0_20210608",816,成功
208,"2025-11-15 21:54:12",分析,医生70,更新患者2065_0_20210615的诊断记录,"2065_0_20210615",817,成功
209,"2025-11-13 20:36:45",分析,医生65,分析患者2066_0_20210615的用药情况,"2066_0_20210615",523,成功
210,"2025-11-28 08:34:06",删除,医生43,更新患者2067_0_20210615的诊断记录,"2067_0_20210615",40,成功
211,"2025-12-05 09:30:37",查询,医生4,查询患者2068_0_20210616的病历信息,"2068_0_20210616",357,成功
212,"2025-12-02 16:36:20",插入,医生58,分析患者2069_0_20210621的用药情况,"2069_0_20210621",593,成功
213,"2025-12-07 04:35:42",分析,医生39,更新患者2069_1_20210705的诊断记录,"2069_1_20210705",873,成功
214,"2025-11-18 01:56:59",分析,医生13,查询患者2069_2_20210825的病历信息,"2069_2_20210825",877,成功
215,"2025-11-27 03:05:30",分析,医生36,分析患者2070_0_20210629的用药情况,"2070_0_20210629",383,成功
216,"2025-11-17 23:37:26",插入,医生37,分析患者2071_0_20210705的用药情况,"2071_0_20210705",604,警告
217,"2025-11-18 02:20:39",分析,医生24,分析患者2072_0_20210706的用药情况,"2072_0_20210706",420,成功
218,"2025-11-21 09:55:54",查询,医生71,查询患者2074_0_20210707的病历信息,"2074_0_20210707",544,成功
219,"2025-11-28 00:52:37",分析,医生47,分析患者2074_1_20210720的用药情况,"2074_1_20210720",661,成功
220,"2025-11-07 22:09:24",查询,医生83,分析患者2075_0_20210720的用药情况,"2075_0_20210720",644,成功
221,"2025-11-16 07:58:19",查询,医生43,更新患者2076_0_20210720的诊断记录,"2076_0_20210720",579,成功
222,"2025-11-25 23:29:48",查询,医生40,更新患者2077_0_20210803的诊断记录,"2077_0_20210803",88,成功
223,"2025-12-04 19:23:58",查询,医生21,更新患者2078_0_20210803的诊断记录,"2078_0_20210803",479,成功
224,"2025-11-18 09:51:25",插入,医生38,查询患者2078_1_20210817的病历信息,"2078_1_20210817",710,失败
225,"2025-11-30 13:50:57",分析,医生1,分析患者2081_0_20210817的用药情况,"2081_0_20210817",275,成功
226,"2025-12-06 11:54:27",查询,医生40,更新患者2082_0_20210907的诊断记录,"2082_0_20210907",100,成功
227,"2025-12-05 06:48:29",分析,医生23,更新患者2083_0_20201214的诊断记录,"2083_0_20201214",800,成功
228,"2025-11-08 10:52:27",查询,医生79,分析患者2084_0_20211013的用药情况,"2084_0_20211013",767,成功
229,"2025-11-20 16:22:11",分析,医生16,查询患者2085_0_20200907的病历信息,"2085_0_20200907",234,成功
230,"2025-11-28 21:04:09",更新,医生3,分析患者2086_0_20200914的用药情况,"2086_0_20200914",839,成功
231,"2025-11-15 09:17:40",插入,医生10,更新患者2087_0_20201012的诊断记录,"2087_0_20201012",820,成功
232,"2025-11-09 03:31:30",分析,医生64,更新患者2088_0_20201123的诊断记录,"2088_0_20201123",1,警告
233,"2025-12-02 10:21:54",更新,医生89,查询患者2089_0_20201019的病历信息,"2089_0_20201019",193,成功
234,"2025-12-07 00:47:10",分析,医生48,分析患者2090_0_20201130的用药情况,"2090_0_20201130",244,成功
235,"2025-11-15 00:10:16",分析,医生21,查询患者2091_0_20201029的病历信息,"2091_0_20201029",248,成功
236,"2025-11-07 08:27:31",更新,医生38,更新患者2092_0_20201109的诊断记录,"2092_0_20201109",938,成功
237,"2025-11-09 13:41:04",插入,医生34,更新患者2093_0_20201109的诊断记录,"2093_0_20201109",668,成功
238,"2025-12-06 04:21:35",分析,医生99,更新患者2094_0_20211109的诊断记录,"2094_0_20211109",929,成功
239,"2025-11-27 18:37:06",查询,医生87,查询患者2095_0_20201116的病历信息,"2095_0_20201116",819,成功
240,"2025-11-26 10:50:12",分析,医生66,查询患者2096_0_20201116的病历信息,"2096_0_20201116",191,成功
241,"2025-12-04 23:23:15",分析,医生40,查询患者2097_0_20201116的病历信息,"2097_0_20201116",890,成功
242,"2025-11-30 12:14:10",删除,医生49,查询患者2098_0_20201106的病历信息,"2098_0_20201106",211,成功
